1-Minute Level Data For MVSA / DB2A
 
Date & Time,Records,Commits,Aborts,C1 Time,C2 Time,C1 TCB,C2 TCB,SQL Sent,SQL Received
2021/04/06 10:00,    18324,   143345,      119,   11460.533,     551.856,     49.738,     42.365,         0,   1407050
2021/04/06 10:01,    19436,   151225,      180,   11740.796,     603.782,     58.246,     50.462,         0,   1486658
2021/04/06 10:02,    18509,   147869,      198,   11656.190,     489.628,     49.841,     41.863,         0,   1484697
2021/04/06 10:03,    18283,   143131,      208,   11229.080,     442.806,     49.661,     41.907,         0,   1488884
2021/04/06 10:04,    18382,   145951,      180,   11354.211,     372.904,     50.020,     42.101,         0,   1507095
2021/04/06 10:05,    18314,   143965,      114,   12625.581,     432.156,     50.457,     42.459,         0,   1503675
2021/04/06 10:06,    18953,   152257,      105,   11085.640,     461.539,     61.808,     53.745,         0,   1561280
2021/04/06 10:07,    18501,   149764,      103,   11063.173,     405.462,     54.870,     47.054,         0,   1441339
2021/04/06 10:08,    18619,   147172,      106,   11580.342,     690.524,     55.847,     48.249,         0,   1476783
2021/04/06 10:09,    18051,   140653,      115,   12670.902,     370.916,     47.653,     40.676,         0,   1429308
2021/04/06 10:10,    18628,   145233,      109,   10627.666,     361.762,     48.001,     40.521,         0,   1544987
2021/04/06 10:11,    18083,   140753,      128,   10782.772,     362.366,     52.183,     45.025,         0,   1461866
2021/04/06 10:12,    18999,   147506,      120,   11825.391,     370.179,     50.892,     43.857,         0,   1518996
2021/04/06 10:13,    18601,   143615,       93,   10435.727,     384.171,     46.923,     39.625,         0,   1583798
2021/04/06 10:14,    18904,   144008,       89,   10276.173,     380.258,     54.944,     47.680,         0,   1609533
2021/04/06 10:15,    18937,   145967,       97,   13125.807,     690.944,     48.794,     41.364,         0,   1543196
2021/04/06 10:16,    18751,   146004,      114,   10771.465,     416.339,     47.148,     39.777,         0,   1556067
2021/04/06 10:17,    17911,   141957,      126,   12944.048,     397.603,     53.463,     45.862,         0,   1496812
2021/04/06 10:18,    18397,   140148,       85,    9598.390,     338.900,     45.195,     38.285,         0,   1502609
2021/04/06 10:19,    18384,   140414,       96,   11658.911,     316.998,     46.401,     39.046,         0,   1586653
2021/04/06 10:20,    18050,   141515,       69,   10533.569,     386.427,     50.386,     43.077,         0,   1542851
2021/04/06 10:21,    18247,   141270,       98,   10181.791,     370.419,     45.504,     38.468,         0,   1505639
