By Subsystem By Minute,,,,,,,,,,,,,,,,,,,,,,,,
,Commits,Commits,Commits,C1 TCB,C1 TCB,C1 TCB,C2 TCB,C2 TCB,C1 zIIP,C1 zIIP,C1 zIIP,C2 zIIP,C2 zIIP,C2 zIIP,zIIP Eligible,zIIP Eligible,zIIP Eligible,C1 Elapsed,C1 Elapsed,C1 Elapsed,C2 Elapsed,C2 Elapsed,C2 Elapsed,
Time,SYSA / DB2A,SYSB / DB2B,Other,SYSA / DB2A,SYSB / DB2B,Other,SYSA / DB2A,Other,SYSA / DB2A,SYSB / DB2B,Other,SYSA / DB2A,SYSB / DB2B,Other,SYSA / DB2A,SYSB / DB2B,Other,SYSA / DB2A,SYSB / DB2B,Other,SYSA / DB2A,SYSB / DB2B,Other,
23/05/2021 10:00,19960,23370,0,4.499,5.041,0,3.309,0,5.115,5.319,0,3.648,3.846,0,0.007,0.01,0,40.8,91.165,0,32.972,78.099,0,                    
23/05/2021 10:01,16590,20406,0,3.777,4.837,0,2.749,0,4.54,4.858,0,3.214,3.573,0,0.004,0.008,0,28.645,72.477,0,23.131,56.576,0,                    
23/05/2021 10:02,16998,20280,0,3.8,4.734,0,2.744,0,4.475,4.844,0,3.159,3.514,0,0.003,0.007,0,28.877,63.352,0,23.223,53.273,0,                    
23/05/2021 10:03,17500,20560,0,3.897,4.61,0,2.799,0,4.619,4.676,0,3.191,3.341,0,0.004,0.006,0,29.336,48.883,0,23.465,39.064,0,                    
23/05/2021 10:04,17910,20920,0,4.016,4.774,0,2.909,0,4.838,4.733,0,3.429,3.392,0,0.003,0.009,0,35.716,112.211,0,29.545,102.033,0,                    
23/05/2021 10:05,17330,21097,0,3.996,4.668,0,2.914,0,4.563,4.789,0,3.27,3.416,0,0.004,0.008,0,34.874,84.955,0,28.973,71.816,0,                    
23/05/2021 10:06,17510,19500,0,3.866,4.505,0,2.82,0,4.6,4.405,0,3.242,3.134,0,0.004,0.009,0,35.42,250.129,0,29.452,234.47,0,                    
23/05/2021 10:07,18510,19990,0,4.155,4.773,0,3.054,0,4.981,4.602,0,3.509,3.235,0,0.003,0.008,0,34.929,295.622,0,28.486,115.409,0,                    
23/05/2021 10:08,17800,20560,0,4.014,4.965,0,2.906,0,5.154,4.771,0,3.634,3.409,0,0.005,0.008,0,33.609,110.098,0,26.991,83.867,0,                    
23/05/2021 10:09,16920,19800,0,3.753,4.682,0,2.787,0,4.812,4.654,0,3.438,3.383,0,0.004,0.012,0,32.604,349.372,0,27.048,335.796,0,                    
23/05/2021 10:10,17310,20439,0,3.919,4.808,0,2.906,0,4.998,4.645,0,3.631,3.351,0,0.004,0.006,0,32.239,80.342,0,26.736,67.253,0,                    
23/05/2021 10:11,18023,20521,0,3.993,4.727,0,2.929,0,4.997,4.834,0,3.546,3.505,0,0.005,0.01,0,35.162,223.134,0,29.231,120.77,0,                    
23/05/2021 10:12,17550,20331,0,3.949,4.698,0,2.923,0,4.886,4.616,0,3.498,3.309,0,0.005,0.009,0,31.93,98.687,0,26.135,80.401,0,                    
23/05/2021 10:13,17950,21421,0,3.858,4.91,0,2.816,0,4.861,5.024,0,3.519,3.629,0,0.005,0.007,0,34.219,70.648,0,28.448,57.778,0,                    
23/05/2021 10:14,16500,21596,0,3.77,4.671,0,2.782,0,4.614,5.121,0,3.274,3.734,0,0.004,0.014,0,61.287,322.824,0,56.134,137.204,0,                    
23/05/2021 10:15,18090,22240,0,4.115,4.68,0,2.966,0,4.945,5.099,0,3.401,3.59,0,0.006,0.012,0,127.433,215.15,0,120.496,155.18,0,                    
23/05/2021 10:16,18491,21600,0,4.048,4.765,0,2.899,0,4.955,4.981,0,3.434,3.561,0,0.005,0.009,0,209.267,262.382,0,202.59,248.645,0,                    
23/05/2021 10:17,18090,21310,0,4.077,4.708,0,2.879,0,4.961,4.976,0,3.348,3.564,0,0.006,0.009,0,222.025,621.837,0,214.421,609.513,0,                    
23/05/2021 10:18,17770,19600,0,3.986,4.286,0,2.806,0,5.173,4.64,0,3.615,3.282,0,0.004,0.012,0,71.065,264.057,0,63.776,216.606,0,                    
23/05/2021 10:19,18010,20871,0,4.046,4.591,0,2.862,0,5.17,4.803,0,3.551,3.381,0,0.004,0.008,0,37.804,203.208,0,30.69,192.696,0,                    
23/05/2021 10:20,18610,20640,0,4.167,4.232,0,2.932,0,5.184,4.754,0,3.553,3.367,0,0.005,0.008,0,37.084,154.161,0,29.511,144.499,0,                    
23/05/2021 10:21,18389,20750,0,4.283,4.497,0,3.068,0,5.27,4.879,0,3.666,3.516,0,0.004,0.006,0,38.191,228.981,0,30.655,74.302,0,                    
23/05/2021 10:22,18240,21470,0,4.132,4.839,0,2.951,0,5.098,4.88,0,3.554,3.462,0,0.005,0.014,0,35.43,419.606,0,28.629,352.451,0,                    
23/05/2021 10:23,17060,19190,0,3.962,4.146,0,2.881,0,4.413,4.42,0,3.095,3.13,0,0.003,0.008,0,31.225,560.611,0,25.688,444.94,0,                    
23/05/2021 10:24,16490,20202,0,3.643,4.402,0,2.657,0,4.33,4.653,0,3.036,3.332,0,0.003,0.012,0,29.95,473.364,0,24.983,310.081,0,                    
23/05/2021 10:25,16400,18870,0,3.687,4.177,0,2.638,0,4.175,4.389,0,2.912,3.134,0,0.002,0.016,0,28.781,1028.133,0,23.678,548.4,0,                    
23/05/2021 10:26,16160,20900,0,3.517,4.525,0,2.568,0,4.099,4.645,0,2.864,3.323,0,0.002,0.007,0,26.612,124.169,0,21.918,97.232,0,                    
